date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:56:29	82016/82016	---MCZ	200	added ('OK')	text/html	etag:%22f09fae33df1c4b32a4413fed21f7f937%22	https://seanobrien.com.au/	/home/yousif/websites/Sean%20Portfolio/seanobrien.com.au/index.html	(from )
19:56:29	128/128	---M-Z	200	added ('OK')	text/plain	date:Thu,%2009%20Nov%202023%2017:56:16%20GMT	https://seanobrien.com.au/robots.txt		(from )
19:56:30	590180/590180	---MCZ	200	added ('OK')	text/css	etag:%22pub1697611465;gz%22	https://aus120.b-cdn.net/wp-content/cache/minify/f2bac.default.include.786ce9.css	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/cache/minify/f2bac.default.include.786ce9.css	(from https://seanobrien.com.au/)
19:56:30	762/762	---M--	200	added ('OK')	image/png	etag:%222fa-52894c7541300%22	https://aus120.b-cdn.net/wp-content/uploads/Gravatar2011.png	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/uploads/Gravatar2011.png	(from https://seanobrien.com.au/)
19:56:31	7383/7383	---M--	200	added ('OK')	image/png	etag:%221cd7-52f414eae9fc0%22	https://aus120.b-cdn.net/wp-content/uploads/logo-black.png	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/uploads/logo-black.png	(from https://seanobrien.com.au/)
19:56:32	100704/100704	---M--	200	added ('OK')	application/font-woff2	etag:%225f638036-18960%22	https://aus120.b-cdn.net/wp-content/uploads/useanyfont/8273inter-regular.woff2	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/uploads/useanyfont/8273inter-regular.woff2	(from https://seanobrien.com.au/)
19:56:33	12672/12672	---M--	200	added ('OK')	application/font-woff2	etag:%225f6380d2-3180%22	https://aus120.b-cdn.net/wp-content/uploads/useanyfont/9023berthold-extended.woff2	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/uploads/useanyfont/9023berthold-extended.woff2	(from https://seanobrien.com.au/)
19:56:34	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%22633928b5-17ee8%22	https://aus120.b-cdn.net/wp-content/themes/aus120/css/fonts/fontawesome-webfont.woff	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/themes/aus120/css/fonts/fontawesome-webfont.woff	(from https://seanobrien.com.au/)
19:56:36	152854/152854	---M--	200	added ('OK')	image/jpeg	etag:%2225516-52894b45fc780%22	https://aus120.b-cdn.net/wp-content/uploads/O4D6213-copy.jpg	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/uploads/O4D6213-copy.jpg	(from https://seanobrien.com.au/)
19:56:36	2620/2620	---MCZ	200	added ('OK')	text/css	etag:W/%22651ecacb-a3c%22	https://aus120.b-cdn.net/wp-content/uploads/useanyfont/uaf.css	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/uploads/useanyfont/uaf.css	(from https://seanobrien.com.au/)
19:56:37	49935/49935	---MCZ	200	added ('OK')	text/css	etag:W/%22633928b4-c30f%22	https://aus120.b-cdn.net/wp-content/themes/aus120/css/font-awesome-legacy.min.css	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/themes/aus120/css/font-awesome-legacy.min.css	(from https://seanobrien.com.au/)
19:56:38	21992/21992	---MCZ	200	added ('OK')	text/css	etag:W/%22633928b4-55e8%22	https://aus120.b-cdn.net/wp-content/themes/aus120/css/build/grid-system.css	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/themes/aus120/css/build/grid-system.css	(from https://seanobrien.com.au/)
19:56:40	164945/164945	---MCZ	200	added ('OK')	text/css	etag:W/%22633928b4-28451%22	https://aus120.b-cdn.net/wp-content/themes/aus120/css/build/style.css	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/themes/aus120/css/build/style.css	(from https://seanobrien.com.au/)
19:56:40	2334/2334	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2009%20Nov%202023%2017:56:19%20GMT	https://aus120.b-cdn.net/	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/index.html	(from https://seanobrien.com.au/)
19:56:41	10558/10558	---MCZ	200	added ('OK')	text/css	etag:W/%22633928b5-293e%22	https://aus120.b-cdn.net/wp-content/themes/aus120/css/build/header/header-perma-transparent.css	/home/yousif/websites/Sean%20Portfolio/aus120.b-cdn.net/wp-content/themes/aus120/css/build/header/header-perma-transparent.css	(from https://seanobrien.com.au/)
